symbol,name,tracking_index_code,tracking_index_name,mapping_method,mapping_confidence,usable_as_benchmark,index_cache_exists,index_cache_schema_valid,index_fetch_success,benchmark_status,etf_metrics_status,tracking_error_status,relative_return_status,required_action,unlock_priority,eligible_for_007b_after_unlock,notes
159022,科创创业人工智能ETF富国,unable_to_confirm,unable_to_confirm,unable_to_confirm,0.0000,False,False,False,False,mapping_unconfirmed,unable_to_compute,missing_benchmark,missing_benchmark,confirm ETF-to-benchmark mapping; name_inferred/unable_to_confirm cannot be a hard benchmark,P3_manual_review,False,not a hard benchmark mapping
159026,石油ETF南方,unable_to_confirm,unable_to_confirm,unable_to_confirm,0.0000,False,False,False,False,mapping_unconfirmed,unable_to_compute,missing_benchmark,missing_benchmark,confirm ETF-to-benchmark mapping; name_inferred/unable_to_confirm cannot be a hard benchmark,P3_manual_review,False,not a hard benchmark mapping
159028,港股汽车ETF天弘,unable_to_confirm,unable_to_confirm,unable_to_confirm,0.0000,False,False,False,False,mapping_unconfirmed,unable_to_compute,missing_etf_cache,missing_benchmark,confirm ETF-to-benchmark mapping; name_inferred/unable_to_confirm cannot be a hard benchmark,P3_manual_review,False,not a hard benchmark mapping
159030,粮食ETF华夏,unable_to_confirm,unable_to_confirm,unable_to_confirm,0.0000,False,False,False,False,mapping_unconfirmed,unable_to_compute,missing_benchmark,missing_benchmark,confirm ETF-to-benchmark mapping; name_inferred/unable_to_confirm cannot be a hard benchmark,P3_manual_review,False,not a hard benchmark mapping
159032,工业有色ETF易方达,unable_to_confirm,unable_to_confirm,unable_to_confirm,0.0000,False,False,False,False,mapping_unconfirmed,unable_to_compute,missing_benchmark,missing_benchmark,confirm ETF-to-benchmark mapping; name_inferred/unable_to_confirm cannot be a hard benchmark,P3_manual_review,False,not a hard benchmark mapping
159100,巴西ETF华夏,unable_to_confirm,unable_to_confirm,unable_to_confirm,0.0000,False,False,False,False,mapping_unconfirmed,unable_to_compute,missing_benchmark,missing_benchmark,confirm ETF-to-benchmark mapping; name_inferred/unable_to_confirm cannot be a hard benchmark,P3_manual_review,False,not a hard benchmark mapping
159101,港股通科技ETF华夏,unable_to_confirm,unable_to_confirm,unable_to_confirm,0.0000,False,False,False,False,mapping_unconfirmed,unable_to_compute,missing_etf_cache,missing_benchmark,confirm ETF-to-benchmark mapping; name_inferred/unable_to_confirm cannot be a hard benchmark,P3_manual_review,False,not a hard benchmark mapping
159102,港股通生物科技ETF华安,unable_to_confirm,unable_to_confirm,unable_to_confirm,0.0000,False,False,False,False,mapping_unconfirmed,unable_to_compute,missing_etf_cache,missing_benchmark,confirm ETF-to-benchmark mapping; name_inferred/unable_to_confirm cannot be a hard benchmark,P3_manual_review,False,not a hard benchmark mapping
159103,金融科技ETF汇添富,unable_to_confirm,unable_to_confirm,unable_to_confirm,0.0000,False,False,False,False,mapping_unconfirmed,unable_to_compute,missing_benchmark,missing_benchmark,confirm ETF-to-benchmark mapping; name_inferred/unable_to_confirm cannot be a hard benchmark,P3_manual_review,False,not a hard benchmark mapping
159105,恒生生物科技ETF易方达,unable_to_confirm,unable_to_confirm,unable_to_confirm,0.0000,False,False,False,False,mapping_unconfirmed,unable_to_compute,missing_etf_cache,missing_benchmark,confirm ETF-to-benchmark mapping; name_inferred/unable_to_confirm cannot be a hard benchmark,P3_manual_review,False,not a hard benchmark mapping
159106,民企300ETF前海开源,unable_to_confirm,unable_to_confirm,unable_to_confirm,0.0000,False,False,False,False,mapping_unconfirmed,unable_to_compute,missing_benchmark,missing_benchmark,confirm ETF-to-benchmark mapping; name_inferred/unable_to_confirm cannot be a hard benchmark,P3_manual_review,False,not a hard benchmark mapping
159107,创业板软件ETF富国,unable_to_confirm,unable_to_confirm,unable_to_confirm,0.0000,False,False,False,False,mapping_unconfirmed,unable_to_compute,missing_benchmark,missing_benchmark,confirm ETF-to-benchmark mapping; name_inferred/unable_to_confirm cannot be a hard benchmark,P3_manual_review,False,not a hard benchmark mapping
159108,工业软件ETF博时,unable_to_confirm,unable_to_confirm,unable_to_confirm,0.0000,False,False,False,False,mapping_unconfirmed,unable_to_compute,missing_benchmark,missing_benchmark,confirm ETF-to-benchmark mapping; name_inferred/unable_to_confirm cannot be a hard benchmark,P3_manual_review,False,not a hard benchmark mapping
159109,恒生50ETF景顺,unable_to_confirm,unable_to_confirm,unable_to_confirm,0.0000,False,False,False,False,mapping_unconfirmed,unable_to_compute,missing_etf_cache,missing_benchmark,confirm ETF-to-benchmark mapping; name_inferred/unable_to_confirm cannot be a hard benchmark,P3_manual_review,False,not a hard benchmark mapping
159117,港股通红利低波ETF鹏华,unable_to_confirm,unable_to_confirm,unable_to_confirm,0.0000,False,False,False,False,mapping_unconfirmed,unable_to_compute,missing_etf_cache,missing_benchmark,confirm ETF-to-benchmark mapping; name_inferred/unable_to_confirm cannot be a hard benchmark,P3_manual_review,False,not a hard benchmark mapping
159118,港股通红利低波ETF华夏,unable_to_confirm,unable_to_confirm,unable_to_confirm,0.0000,False,False,False,False,mapping_unconfirmed,unable_to_compute,missing_etf_cache,missing_benchmark,confirm ETF-to-benchmark mapping; name_inferred/unable_to_confirm cannot be a hard benchmark,P3_manual_review,False,not a hard benchmark mapping
159119,800现金流ETF招商,unable_to_confirm,unable_to_confirm,unable_to_confirm,0.0000,False,False,False,False,mapping_unconfirmed,unable_to_compute,missing_etf_cache,missing_benchmark,confirm ETF-to-benchmark mapping; name_inferred/unable_to_confirm cannot be a hard benchmark,P3_manual_review,False,not a hard benchmark mapping
159120,港股通科技ETF国联安,unable_to_confirm,unable_to_confirm,unable_to_confirm,0.0000,False,False,False,False,mapping_unconfirmed,unable_to_compute,missing_etf_cache,missing_benchmark,confirm ETF-to-benchmark mapping; name_inferred/unable_to_confirm cannot be a hard benchmark,P3_manual_review,False,not a hard benchmark mapping
159121,港股通汽车ETF易方达,unable_to_confirm,unable_to_confirm,unable_to_confirm,0.0000,False,False,False,False,mapping_unconfirmed,unable_to_compute,missing_etf_cache,missing_benchmark,confirm ETF-to-benchmark mapping; name_inferred/unable_to_confirm cannot be a hard benchmark,P3_manual_review,False,not a hard benchmark mapping
159122,创业板新能源ETF富国,unable_to_confirm,unable_to_confirm,unable_to_confirm,0.0000,False,False,False,False,mapping_unconfirmed,unable_to_compute,missing_benchmark,missing_benchmark,confirm ETF-to-benchmark mapping; name_inferred/unable_to_confirm cannot be a hard benchmark,P3_manual_review,False,not a hard benchmark mapping
159123,光伏ETF嘉实,unable_to_confirm,unable_to_confirm,unable_to_confirm,0.0000,False,False,False,False,mapping_unconfirmed,unable_to_compute,missing_benchmark,missing_benchmark,confirm ETF-to-benchmark mapping; name_inferred/unable_to_confirm cannot be a hard benchmark,P3_manual_review,False,not a hard benchmark mapping
159125,港股通科技ETF招商,unable_to_confirm,unable_to_confirm,unable_to_confirm,0.0000,False,False,False,False,mapping_unconfirmed,unable_to_compute,missing_etf_cache,missing_benchmark,confirm ETF-to-benchmark mapping; name_inferred/unable_to_confirm cannot be a hard benchmark,P3_manual_review,False,not a hard benchmark mapping
159126,港股通50ETF南方,unable_to_confirm,unable_to_confirm,unable_to_confirm,0.0000,False,False,False,False,mapping_unconfirmed,unable_to_compute,missing_etf_cache,missing_benchmark,confirm ETF-to-benchmark mapping; name_inferred/unable_to_confirm cannot be a hard benchmark,P3_manual_review,False,not a hard benchmark mapping
159127,港股通红利ETF南方,000015,上证红利,name_inferred,0.6000,False,True,True,True,mapping_unconfirmed,unable_to_compute,missing_etf_cache,missing_benchmark,confirm ETF-to-benchmark mapping; name_inferred/unable_to_confirm cannot be a hard benchmark,P3_manual_review,False,network/proxy source action required; not a hard benchmark mapping
159128,港股科技ETF天弘,unable_to_confirm,unable_to_confirm,unable_to_confirm,0.0000,False,False,False,False,mapping_unconfirmed,unable_to_compute,missing_etf_cache,missing_benchmark,confirm ETF-to-benchmark mapping; name_inferred/unable_to_confirm cannot be a hard benchmark,P3_manual_review,False,not a hard benchmark mapping
159129,化工ETF嘉实,unable_to_confirm,unable_to_confirm,unable_to_confirm,0.0000,False,False,False,False,mapping_unconfirmed,unable_to_compute,missing_benchmark,missing_benchmark,confirm ETF-to-benchmark mapping; name_inferred/unable_to_confirm cannot be a hard benchmark,P3_manual_review,False,not a hard benchmark mapping
159130,恒生生物科技ETF鹏华,unable_to_confirm,unable_to_confirm,unable_to_confirm,0.0000,False,False,False,False,mapping_unconfirmed,unable_to_compute,missing_etf_cache,missing_benchmark,confirm ETF-to-benchmark mapping; name_inferred/unable_to_confirm cannot be a hard benchmark,P3_manual_review,False,not a hard benchmark mapping
