symbol,etf_name,category,sub_category,tracking_index_name,tracking_index_code,index_source,mapping_method,confidence,requires_manual_review,usable_as_benchmark,notes
159102,港股通生物科技ETF华安,ETF,指数型-股票,unable_to_confirm,unable_to_confirm,unconfirmed,unable_to_confirm,0.0,True,False,"no reliable metadata, manual config, or clear name candidate"
159103,金融科技ETF汇添富,ETF,指数型-股票,unable_to_confirm,unable_to_confirm,unconfirmed,unable_to_confirm,0.0,True,False,"no reliable metadata, manual config, or clear name candidate"
159105,恒生生物科技ETF易方达,ETF,指数型-股票,unable_to_confirm,unable_to_confirm,unconfirmed,unable_to_confirm,0.0,True,False,"no reliable metadata, manual config, or clear name candidate"
159106,民企300ETF前海开源,ETF,指数型-股票,unable_to_confirm,unable_to_confirm,unconfirmed,unable_to_confirm,0.0,True,False,"no reliable metadata, manual config, or clear name candidate"
159107,创业板软件ETF富国,ETF,指数型-股票,unable_to_confirm,unable_to_confirm,unconfirmed,unable_to_confirm,0.0,True,False,"no reliable metadata, manual config, or clear name candidate"
159108,工业软件ETF博时,ETF,指数型-股票,unable_to_confirm,unable_to_confirm,unconfirmed,unable_to_confirm,0.0,True,False,"no reliable metadata, manual config, or clear name candidate"
159109,恒生50ETF景顺,ETF,指数型-股票,unable_to_confirm,unable_to_confirm,unconfirmed,unable_to_confirm,0.0,True,False,"no reliable metadata, manual config, or clear name candidate"
159117,港股通红利低波ETF鹏华,ETF,指数型-股票,unable_to_confirm,unable_to_confirm,unconfirmed,unable_to_confirm,0.0,True,False,"no reliable metadata, manual config, or clear name candidate"
159118,港股通红利低波ETF华夏,ETF,指数型-股票,unable_to_confirm,unable_to_confirm,unconfirmed,unable_to_confirm,0.0,True,False,"no reliable metadata, manual config, or clear name candidate"
159119,800现金流ETF招商,ETF,指数型-股票,unable_to_confirm,unable_to_confirm,unconfirmed,unable_to_confirm,0.0,True,False,"no reliable metadata, manual config, or clear name candidate"
159120,港股通科技ETF国联安,ETF,指数型-股票,unable_to_confirm,unable_to_confirm,unconfirmed,unable_to_confirm,0.0,True,False,"no reliable metadata, manual config, or clear name candidate"
159121,港股通汽车ETF易方达,ETF,指数型-股票,unable_to_confirm,unable_to_confirm,unconfirmed,unable_to_confirm,0.0,True,False,"no reliable metadata, manual config, or clear name candidate"
159122,创业板新能源ETF富国,ETF,指数型-股票,unable_to_confirm,unable_to_confirm,unconfirmed,unable_to_confirm,0.0,True,False,"no reliable metadata, manual config, or clear name candidate"
159123,光伏ETF嘉实,ETF,指数型-股票,unable_to_confirm,unable_to_confirm,unconfirmed,unable_to_confirm,0.0,True,False,"no reliable metadata, manual config, or clear name candidate"
159125,港股通科技ETF招商,ETF,指数型-股票,unable_to_confirm,unable_to_confirm,unconfirmed,unable_to_confirm,0.0,True,False,"no reliable metadata, manual config, or clear name candidate"
159126,港股通50ETF南方,ETF,指数型-股票,unable_to_confirm,unable_to_confirm,unconfirmed,unable_to_confirm,0.0,True,False,"no reliable metadata, manual config, or clear name candidate"
159127,港股通红利ETF南方,ETF,指数型-股票,上证红利,000015,name_inference,name_inferred,0.6,True,False,candidate inferred from ETF name; not a confirmed benchmark
159128,港股科技ETF天弘,ETF,指数型-股票,unable_to_confirm,unable_to_confirm,unconfirmed,unable_to_confirm,0.0,True,False,"no reliable metadata, manual config, or clear name candidate"
159129,化工ETF嘉实,ETF,指数型-股票,unable_to_confirm,unable_to_confirm,unconfirmed,unable_to_confirm,0.0,True,False,"no reliable metadata, manual config, or clear name candidate"
159130,恒生生物科技ETF鹏华,ETF,指数型-股票,unable_to_confirm,unable_to_confirm,unconfirmed,unable_to_confirm,0.0,True,False,"no reliable metadata, manual config, or clear name candidate"
