audit_item,status,severity,count,ratio,affected_symbols,finding,suggested_action,notes
factor_coverage_by_name,warning,warning,0,0.0,"159001,159003,159005,159007,159008,159009,159010,159013,159015,159016",momentum_120d is used for 0 of 50 symbols.,Treat low-coverage factors as explanatory only until coverage is improved.,source_unavailable=26; insufficient_coverage=24
factor_coverage_by_name,warning,warning,13,0.26,"159001,159003,159005,159007,159008,159009,159010,159013,159015,159016",momentum_20d is used for 13 of 50 symbols.,Treat low-coverage factors as explanatory only until coverage is improved.,source_unavailable=26; used=13; skipped_missing_optional=11
factor_coverage_by_name,warning,warning,13,0.26,"159001,159003,159005,159007,159008,159009,159010,159013,159015,159016",momentum_60d is used for 13 of 50 symbols.,Treat low-coverage factors as explanatory only until coverage is improved.,source_unavailable=26; used=13; skipped_missing_optional=11
factor_coverage_by_name,blocked,high,0,0.0,"159001,159003,159005,159007,159008,159009,159010,159013,159015,159016",relative_return_60d is used for 0 of 50 symbols.,Treat low-coverage factors as explanatory only until coverage is improved.,source_unavailable=50
factor_coverage_by_name,blocked,high,0,0.0,"159001,159003,159005,159007,159008,159009,159010,159013,159015,159016",tracking_error is used for 0 of 50 symbols.,Treat low-coverage factors as explanatory only until coverage is improved.,source_unavailable=50
factor_coverage_by_name,warning,warning,16,0.32,"159001,159003,159005,159008,159010,159013,159015,159016,159017,159018",volatility_20d is used for 16 of 50 symbols.,Treat low-coverage factors as explanatory only until coverage is improved.,source_unavailable=26; used=16; skipped_missing_optional=8
top_score_symbols,info,info,10,0.4167,"159136,159019,159140,159106,159139,159007,159022,159013,159123,159008",Top ranked symbols are sorted by the current factor_score total_score.,Read together with used_factor_count and missing-source rows; do not use as a recommendation list.,
bottom_score_symbols,info,info,10,0.4167,"159009,159107,159103,159138,159108,159026,159018,159020,159100,159017",Bottom ranked computable symbols are the weakest among currently scoreable ETFs.,"Use as diagnostic evidence for factor behavior, not as a trading instruction.",
data_completeness_bias,warning,warning,24,0.48,"159007,159008,159009,159013,159017,159018,159019,159020,159022,159026","data_completeness participates in 24 score(s), matching 24 computable symbols.",Do not interpret the current score as purely return/risk based; separate coverage gates from alpha factors before strategy use.,source_unavailable=26; used=24
short_history_bias,blocked,high,24,1.0,"159007,159008,159009,159013,159017,159018,159019,159020,159022,159026",24 of 24 scoreable symbols have short history or insufficient_rows quality flags.,Require enough price history before allowing scoreable symbols into a candidate strategy.,insufficient_rows=24
missing_benchmark_dependency,blocked,high,50,1.0,"159001,159003,159005,159007,159008,159009,159010,159013,159015,159016",Benchmark-dependent factors are unavailable for 50 symbol(s).,Confirm benchmark mapping and schema-valid index cache before using tracking_error or relative_return_60d.,missing_benchmark=41
missing_nav_iopv_dependency,blocked,high,50,1.0,"159001,159003,159005,159007,159008,159009,159010,159013,159015,159016",discount_premium is unavailable for 50 symbol(s).,Add a trusted NAV or IOPV source; exchange prices alone cannot produce discount/premium.,source_unavailable=41
metadata_low_coverage_dependency,warning,warning,50,1.0,"159001,159003,159005,159007,159008,159009,159010,159013,159015,159016",fund_size and management_fee are disabled or low coverage in current metadata.,Keep size and fee out of scoring until metadata sources confirm these fields with high coverage.,warning=50
